lon,lat,dep,log_dep,log_dep_norm
-61.0,77.0,0.07999989408,-1.096910588014331,-2.6629617619217485
-42.32,75.1,0.16999985376,-0.7695514522173281,-2.3176129267331764
-37.63,72.58,0.32600024639999997,-0.4867820716801595,-2.019304232956379
129.42,71.77,81.99990720000001,1.9138133608891956,0.5132135609289481
-27.0,71.0,0.12000015647999998,-0.92081818763274,-2.4771923768417095
136.0,70.8,102.0000384,2.008600335260986,0.6132094602663831
131.6,70.7,120.99984768000002,2.082784823607548,0.6914706842190033
143.6,70.7,47.999999519999996,1.6812412330326423,0.267860660491203
151.0,70.6,7.000014384,0.8450989324264582,-0.6142310180049809
147.0,70.5,67.00012416,1.8260756075060938,0.4206542655876209
159.0,68.6,135.99994608,2.1335387361851947,0.7450137281523241
162.3,68.2,26.999987904,1.4313635695950158,0.0042512157823243035
-44.0,65.0,0.3399990768,-0.46852226219659787,-2.000040973598853
-162.1,63.45,86.99993999999998,1.9395189531050794,0.5403317786868689
92.9,56.1,404.0013888000001,2.60638285804907,1.2438425337510575
93.2,56.0,125.99988048,2.1003701331580302,0.7100223771629124
86.1,55.6,75.99986784000001,1.8808128370648882,0.47839952576970196
91.5,55.2,111.00009743999998,2.045323360026619,0.6519505627455782
91.4,55.1,267.99986592,2.4281345767518534,1.0557987934397102
38.7,55.0,68.00013072,1.8325097475727086,0.4274419874944365
83.2,55.0,130.99991328,2.1172710081593524,0.7278520231300671
87.0,55.0,107.0000712,2.029384066673591,0.6351353412006062
87.1,54.5,125.99988048,2.1003701331580302,0.7100223771629124
34.06,53.15,98.00001216000001,1.9912261295804599,0.5948804721980095
103.0,53.1,176.99989967999997,2.2479730202124575,0.865736635726713
36.3,53.0,68.00013072,1.8325097475727086,0.4274419874944365
34.2,52.8,166.00014288,2.2201084618470963,0.8363408079576394
103.2,52.8,101.00003183999999,2.0043215106928813,0.6086954971018191
83.6,52.6,152.00005104000002,2.1818437337762635,0.7959732793841767
83.6,52.5,125.99988048,2.1003701331580302,0.7100223771629124
85.1,52.3,293.00002992,2.4668676647025403,1.0966604201496517
33.3,52.2,197.00003088,2.294466294237799,0.9147849019058839
38.9,51.6,72.00015696,1.857333443192207,0.45362984489575103
42.0,51.0,44.999979839999995,1.6532123192113721,0.2382914452737637
5.6,50.84,112.00010400000001,2.049218425943442,0.6560596781795575
5.54,50.68,64.00010447999999,1.80618068296905,0.39966603503677683
5.4,50.67,139.99997231999998,2.1461279498120063,0.7582947696341036
7.24,50.57,139.99997231999998,2.1461279498120063,0.7582947696341036
4.02,50.41,103.00004495999998,2.01283741427678,0.6176793837928609
7.35,50.35,195.00001776,2.2900346509167213,0.9101097219840552
24.5,50.31,109.00008432000001,2.0374268339011423,0.643620090792107
1.23,49.6,60.00007824,1.7781518167032788,0.3700968699882021
0.36,49.54,171.99986688,2.2355281107836897,0.852607828538276
32.98,49.33,50.00001264000001,1.6989701141256501,0.286563814810573
8.8,49.3,528.0009407999999,2.722634696366927,1.3664828775247462
9.18,49.13,74.99986127999999,1.8750604601198835,0.472331032606417
24.8,49.1,56.000052000000004,1.7481884302794608,0.33848687512865017
9.14,49.04,60.00007824,1.7781518167032788,0.3700968699882021
16.66,48.89,189.99998496,2.278753566574991,0.8982086967458394
7.63,48.58,82.99991375999998,1.9190776411281754,0.5187671345117096
26.89,48.5,91.99997280000001,1.9637876989454286,0.5659341895896436
-132.77,48.42,2.1999986639999998,0.34242241708693166,-1.1445316269264478
7.38,48.35,82.99991375999998,1.9190776411281754,0.5187671345117096
20.45,48.22,99.00001872000001,1.9956352767186807,0.5995319196813748
47.31,48.09,98.00001216000001,1.9912261295804599,0.5948804721980095
19.44,47.42,114.00011712000001,2.0569052975166797,0.6641689742210399
19.61,47.24,95.99999903999999,1.9822712286966235,0.5854334635421102
-111.1,47.1,29.000001023999996,1.4623980132340437,0.036991126753099235
-111.1,47.1,8.899995312000001,0.949389777883894,-0.5042089716922395
-111.1,47.1,29.000001023999996,1.4623980132340437,0.036991126753099235
-111.1,47.1,8.899995312000001,0.949389777883894,-0.5042089716922395
18.85,46.62,330.99870239999996,2.519826291233047,1.152529335923056
161.7,46.6,7.809985008000001,0.892650200209039,-0.5640666170620442
30.45,46.09,164.00012976,2.21484419166983,0.8307872449895229
19.48,45.67,620.1964367999999,2.792529266766604,1.4402184353082998
-119.2,44.9,26.799986591999996,1.4281345767518534,0.0008447768127705303
-119.6,44.6,31.200015455999996,1.4941548091611943,0.07049308617164872
-111.4,44.0,81.40009248,1.9106248982986713,0.5098498795122097
-91.3,43.75,111.00009743999998,2.045323360026619,0.6519505627455782
-112.3,43.6,20.100005712,1.3031961808378882,-0.13095948578759384
44.17,43.52,118.00014336000001,2.0718825349367958,0.6799692709953666
166.9,43.28,13.999997232,1.1461279498120063,-0.29665924699283613
-114.8,42.9,33.50006208,1.5250456118421125,0.10308146253671367
-112.3,42.8,17.799990624000003,1.2504197735478753,-0.18663616864133234
-111.5,42.8,31.200015455999996,1.4941548091611943,0.07049308617164872
-90.83,42.68,120.99984768000002,2.082784823607548,0.6914706842190033
-118.2,42.5,34.600037760000006,1.539076572750889,0.11788348110456305
-92.87,42.32,135.99994608,2.1335387361851947,0.7450137281523241
-89.14,42.32,50.00001264000001,1.6989701141256501,0.286563814810573
-111.2,42.3,7.799988096000002,0.8920939398897808,-0.5646534461201357
155.9,42.2,13.399993295999998,1.1271045810878721,-0.31672802623813673
119.02,42.17,54.509975999999995,1.7364759908137937,0.32613079006984474
