period,lat,lon,time,dep,log_dep,log_dep_norm
1.0,-87.8638,-160.3125,6.5,0.00055119954,-3.258691,-2.3601384
1.0,-87.8638,-157.5,6.5,0.0005515182,-3.25844,-2.3599212
1.0,-87.8638,-154.6875,6.5,0.0005623464,-3.249996,-2.3526206
1.0,-87.8638,-151.875,6.5,0.0005569648,-3.2541723,-2.3562315
1.0,-87.8638,-149.0625,6.5,0.0005576179,-3.2536633,-2.3557913
1.0,-87.8638,-146.25,6.5,0.0005865647,-3.231684,-2.336788
1.0,-87.8638,-143.4375,6.5,0.000586258,-3.2319112,-2.3369844
1.0,-87.8638,-140.625,6.5,0.0005875862,-3.2309284,-2.3361347
1.0,-87.8638,-137.8125,6.5,0.00059543963,-3.2251623,-2.3311493
1.0,-87.8638,-135.0,6.5,0.0005700875,-3.2440584,-2.347487
1.0,-87.8638,-132.1875,6.5,0.0005668667,-3.246519,-2.3496144
1.0,-87.8638,-129.375,6.5,0.0005696988,-3.2443547,-2.3477433
1.0,-87.8638,-126.5625,6.5,0.0005850027,-3.2328422,-2.3377895
1.0,-87.8638,-123.75,6.5,0.0005559532,-3.2549617,-2.356914
1.0,-87.8638,-120.9375,6.5,0.00055664347,-3.254423,-2.3564482
1.0,-87.8638,-118.125,6.5,0.0005699218,-3.2441847,-2.3475962
1.0,-87.8638,-115.3125,6.5,0.0005677437,-3.2458477,-2.349034
1.0,-87.8638,-112.5,6.5,0.00058773695,-3.230817,-2.3360386
1.0,-87.8638,-109.6875,6.5,0.0006356166,-3.1968048,-2.3066316
1.0,-87.8638,-106.875,6.5,0.00066719385,-3.1757479,-2.2884257
1.0,-87.8638,-104.0625,6.5,0.0006703393,-3.1737053,-2.2866597
1.0,-87.8638,-101.25,6.5,0.0006687862,-3.1747127,-2.2875307
1.0,-87.8638,-98.4375,6.5,0.00070694037,-3.1506171,-2.2666976
1.0,-87.8638,-95.625,6.5,0.0007051464,-3.1517208,-2.2676518
1.0,-87.8638,-92.8125,6.5,0.0006280987,-3.201972,-2.311099
1.0,-87.8638,-90.0,6.5,0.00063264347,-3.1988409,-2.3083918
1.0,-87.8638,-87.1875,6.5,0.00062829454,-3.2018368,-2.3109822
1.0,-87.8638,-84.375,6.5,0.00062830007,-3.201833,-2.310979
1.0,-87.8638,-81.5625,6.5,0.000612759,-3.2127104,-2.3203835
1.0,-87.8638,-78.75,6.5,0.0006098567,-3.2147722,-2.3221662
1.0,-87.8638,-75.9375,6.5,0.0006125866,-3.2128325,-2.320489
1.0,-87.8638,-73.125,6.5,0.000618007,-3.2090065,-2.317181
1.0,-87.8638,-70.3125,6.5,0.0006199548,-3.20764,-2.3159995
1.0,-87.8638,-67.5,6.5,0.0006263412,-3.203189,-2.3121512
1.0,-87.8638,-64.6875,6.5,0.0006279665,-3.2020636,-2.3111782
1.0,-87.8638,-61.875,6.5,0.0006101228,-3.2145827,-2.3220022
1.0,-87.8638,-59.0625,6.5,0.0006191729,-3.208188,-2.3164735
1.0,-87.8638,-56.25,6.5,0.00063337066,-3.198342,-2.3079605
1.0,-87.8638,-53.4375,6.5,0.0006436719,-3.1913354,-2.3019028
1.0,-87.8638,-50.625,6.5,0.0006542411,-3.1842623,-2.295787
1.0,-87.8638,-47.8125,6.5,0.00066283357,-3.1785955,-2.2908878
1.0,-87.8638,-45.0,6.5,0.00066894,-3.1746128,-2.287444
1.0,-87.8638,-42.1875,6.5,0.0006702776,-3.1737454,-2.2866943
1.0,-87.8638,-39.375,6.5,0.0006672342,-3.1757216,-2.288403
1.0,-87.8638,-36.5625,6.5,0.000659467,-3.1808069,-2.2927997
1.0,-87.8638,-33.75,6.5,0.0006361594,-3.196434,-2.306311
1.0,-87.8638,-30.9375,6.5,0.00061851944,-3.2086465,-2.3168697
1.0,-87.8638,-28.125,6.5,0.000616761,-3.2098832,-2.317939
1.0,-87.8638,-25.3125,6.5,0.0006036579,-3.2192092,-2.3260024
1.0,-87.8638,-22.5,6.5,0.0005804929,-3.2362032,-2.3406954
1.0,-87.8638,-19.6875,6.5,0.00055565714,-3.255193,-2.3571138
1.0,-87.8638,-16.875,6.5,0.00054519164,-3.2634509,-2.3642538
1.0,-87.8638,-14.0625,6.5,0.0005565739,-3.2544773,-2.3564951
1.0,-87.8638,-11.25,6.5,0.000578547,-3.2376614,-2.3419561
1.0,-87.8638,-8.4375,6.5,0.0005865425,-3.2317004,-2.3368022
1.0,-87.8638,-5.625,6.5,0.00058929936,-3.229664,-2.3350415
1.0,-87.8638,-2.8125,6.5,0.0005848337,-3.2329676,-2.3378978
1.0,-85.0965,0.0,6.5,0.0007923395,-3.1010888,-2.2238753
1.0,-85.0965,2.8125,6.5,0.0007625419,-3.1177363,-2.2382689
1.0,-85.0965,5.625,6.5,0.00075109006,-3.1243079,-2.2439506
1.0,-85.0965,8.4375,6.5,0.00071861496,-3.1435037,-2.2605474
1.0,-85.0965,11.25,6.5,0.00070207316,-3.1536176,-2.2692919
1.0,-85.0965,14.0625,6.5,0.00067515316,-3.1705978,-2.283973
1.0,-85.0965,16.875,6.5,0.00065241294,-3.1854775,-2.2968378
1.0,-85.0965,19.6875,6.5,0.000644641,-3.1906822,-2.301338
1.0,-85.0965,22.5,6.5,0.00063691474,-3.1959188,-2.3058655
