lon,lat,dep,log_dep,log_dep_norm
1.37,78.87,3.9999947039999997,0.6020594163216877,0.18519557464520214
-61.0,77.0,0.03999994704,-1.3979405836783123,-1.6691374558199885
-42.32,75.1,0.007999989408,-2.0969105880143313,-2.3171990389923276
-6.72,74.58,3.1000014144000003,0.49136189198458724,0.08256053676069729
-37.63,72.58,0.008999995968,-2.0457576851246464,-2.269771780276067
-27.0,71.0,0.06000007823999999,-1.2218481832967212,-1.5058704785992458
-44.0,65.0,0.020000005056000004,-1.6989698945463876,-1.9482417529604117
-162.1,63.45,36.99992736,1.568200871440451,1.0809695808094149
-20.0,60.0,0.20000005056,-0.6989698945463877,-1.0210752377278163
-21.15,54.58,1.0200003839999998,0.008600335260985775,-0.3650398134749872
-21.15,54.58,1.8299993903999996,0.26245094506050576,-0.12967802819749694
-144.98,50.0,0.30000007584000005,-0.5228786354907063,-0.8578093187062401
21.36,48.8,21.129340751999997,1.3248859470175265,0.8553761302281296
21.37,48.15,56.2570704,1.7501771124320704,1.2496918580247416
-19.5,47.83,2.7999994464,0.4471579454759875,0.04157611771679079
21.56,47.79,35.90436672,1.5551472710594294,1.0688667196329042
-20.87,47.72,3.1000014144000003,0.49136189198458724,0.08256053676069729
21.57,47.53,47.29422383999999,1.6748081025222445,1.1798122357501175
19.81,47.51,21.949119072000006,1.3414170945167863,0.8707032566478143
162.12,46.82,0.8599993344,-0.06550188488029161,-0.433744910694374
161.7,46.6,4.900000608,0.6901961339164787,0.2669129879616039
175.03,46.12,4.089998448,0.6117231432090132,0.1941554586274833
7.88,45.93,0.39999947039999995,-0.39794058367831237,-0.7419709405873933
6.87,45.83,0.20000005056,-0.6989698945463877,-1.0210752377278163
19.48,45.67,35.880084,1.5548534511137986,1.068594299617808
177.52,45.37,2.29999932,0.3617277076174662,-0.03763193821398612
-143.37,44.54,0.6000007823999999,-0.2218481832967213,-0.5787039633666506
85.63,44.33,28.750015151999996,1.4586380779101102,0.9793866273327405
-163.21,44.29,2.1999986639999998,0.34242241708693166,-0.055531157160734645
-163.33,44.22,1.8999998496000001,0.27875356657499073,-0.11456278341875596
176.5,44.05,2.1999986639999998,0.34242241708693166,-0.055531157160734645
-148.06,43.37,2.7999994464,0.4471579454759875,0.04157611771679079
166.9,43.28,7.999989407999999,0.9030894119856688,0.46430050670545875
-178.52,43.24,1.2999990672000001,0.11394304068373061,-0.267369584383007
150.23,43.0,1.7999991936000002,0.25527231053933463,-0.13633381775061956
-157.5,43.0,1.0000002528,1.0978963116709104e-07,-0.37301365455547764
155.9,42.2,5.600005200000001,0.7481884302794607,0.3206815032908058
119.02,42.17,31.279990751999993,1.4952666159876835,1.0133473813401885
9.08,42.15,12.250001520000001,1.0881361425885163,0.6358696390736859
160.36,42.05,2.1999986639999998,0.34242241708693166,-0.055531157160734645
2.4,41.79,5.100001920000001,0.7075703395970048,0.2830217696973516
146.5,41.5,21.699984672,1.336459427080411,0.8661066734071483
-149.55,41.48,0.5000001264,-0.30102988587435003,-0.6521185866157344
-171.57,41.42,1.1000009088,0.04139304396428151,-0.33463551202151487
-132.22,41.04,0.39999947039999995,-0.39794058367831237,-0.7419709405873933
138.7,40.83,4.900000608,0.6901961339164787,0.2669129879616039
166.98,40.68,3.0000007584000006,0.47712136450929366,0.0693571965263553
146.47,40.52,16.100011007999996,1.2068261729704846,0.7459150609357862
-151.39,40.11,0.30000007584000005,-0.5228786354907063,-0.8578093187062401
-162.3,40.08,2.6999987904,0.4313635695950158,0.02693210127095655
145.43,40.0,7.3200101759999985,0.8645116847984978,0.42853252982373574
115.68,39.98,5.500004543999999,0.7403630483003003,0.3134260711508237
103.3,39.88,116.38013904,2.065878871711737,1.5423999580288699
103.3,39.88,89.01004463999999,1.9494390188423778,1.4344408254097898
157.6,39.7,6.600011759999999,0.8195447093749834,0.3868406559197661
-140.03,39.57,0.5000001264,-0.30102988587435003,-0.6521185866157344
173.43,39.38,1.8999998496000001,0.27875356657499073,-0.11456278341875596
9.5,39.0,9.499999247999998,0.9777235709110095,0.5334987997535826
25.0,39.0,23.899999104,1.3783978846666372,0.9049906069815995
-178.17,39.0,0.6000007823999999,-0.2218481832967213,-0.5787039633666506
179.3,38.6,2.399999976,0.3802112373686612,-0.020494628345372655
109.7,38.35,185.37996095999998,2.2680627863626643,1.7298581136118545
109.7,38.35,111.55008528,2.0474699066379585,1.525331782032376
-161.06,38.22,1.2999990672000001,0.11394304068373061,-0.267369584383007
-107.5,38.0,18.360006912,1.2638728403642918,0.7988068207489354
-107.5,38.0,20.229997104,1.3059958205999243,0.8378618375452183
156.6,37.7,10.000002528,1.0000001097896312,0.5541528606771178
163.0,37.7,1.6999985376,0.23044854778267185,-0.1593495793606753
110.72,37.57,26.559997632000005,1.4242280319757474,0.9474827849547838
174.95,37.4,7.930011024000001,0.8992737910577099,0.46076279074623455
174.95,37.4,8.770003919999999,0.9429997874862216,0.5013040704799306
-178.1,37.18,1.6999985376,0.23044854778267185,-0.1593495793606753
106.97,36.92,15.729999120000004,1.1967286983270915,0.736553020558022
104.13,36.72,101.66008032,2.0071504484959295,1.4879489305307645
99.88,36.67,61.63995023999999,1.789862279454199,1.286486616039072
101.8,36.63,39.3301224,1.5947252979877247,1.1055621409397935
110.02,36.6,17.099986031999997,1.23299575564199,0.7701786217064172
101.73,36.58,20.700009648,1.3159705478758639,0.8471100706740466
107.35,36.58,21.969995904,1.3418299759523553,0.8710860664896352
166.73,36.4,1.7999991936000002,0.25527231053933463,-0.13633381775061956
