lon,lat,PINN_log_dep
-180.0,-90.0,-2.365447
-176.9747899159664,-90.0,-2.3607156
-173.94957983193277,-90.0,-2.3448224
-170.92436974789916,-90.0,-2.3297744
-167.89915966386553,-90.0,-2.3155851
-164.87394957983193,-90.0,-2.3022714
-161.84873949579833,-90.0,-2.2898192
-158.8235294117647,-90.0,-2.278735
-155.7983193277311,-90.0,-2.268633
-152.7731092436975,-90.0,-2.2651708
-149.74789915966386,-90.0,-2.2630792
-146.72268907563026,-90.0,-2.2626774
-143.69747899159665,-90.0,-2.269702
-140.67226890756302,-90.0,-2.2775939
-137.64705882352942,-90.0,-2.284567
-134.62184873949582,-90.0,-2.279729
-131.5966386554622,-90.0,-2.2752063
-128.57142857142856,-90.0,-2.2709885
-125.54621848739497,-90.0,-2.2670653
-122.52100840336136,-90.0,-2.2638996
-119.49579831932772,-90.0,-2.261407
-116.47058823529412,-90.0,-2.259529
-113.44537815126051,-90.0,-2.2572873
-110.4201680672269,-90.0,-2.2545369
-107.39495798319328,-90.0,-2.2524567
-104.36974789915966,-90.0,-2.251051
-101.34453781512605,-90.0,-2.2441685
-98.31932773109244,-90.0,-2.2341998
-95.29411764705884,-90.0,-2.2256355
-92.2689075630252,-90.0,-2.2086353
-89.2436974789916,-90.0,-2.1920195
-86.21848739495799,-90.0,-2.1855397
-83.19327731092437,-90.0,-2.1890426
-80.16806722689076,-90.0,-2.1884816
-77.14285714285714,-90.0,-2.1741436
-74.11764705882354,-90.0,-2.160601
-71.09243697478992,-90.0,-2.160627
-68.0672268907563,-90.0,-2.164251
-65.0420168067227,-90.0,-2.1689768
-62.01680672268908,-90.0,-2.1689177
-58.991596638655466,-90.0,-2.1664343
-55.96638655462185,-90.0,-2.1619496
-52.94117647058823,-90.0,-2.1566179
-49.91596638655463,-90.0,-2.1416953
-46.89075630252103,-90.0,-2.125611
-43.8655462184874,-90.0,-2.1090646
-40.84033613445379,-90.0,-2.0930295
-37.81512605042016,-90.0,-2.0779192
-34.78991596638656,-90.0,-2.0637846
-31.76470588235296,-90.0,-2.045765
-28.739495798319325,-90.0,-2.032239
-25.71428571428572,-90.0,-2.0309224
-22.68907563025209,-90.0,-2.0334184
-19.66386554621849,-90.0,-2.0399413
-16.638655462184886,-90.0,-2.0482225
-13.613445378151257,-90.0,-2.0571883
-10.588235294117652,-90.0,-2.0520277
-7.563025210084049,-90.0,-2.0351102
-4.537815126050418,-90.0,-2.0309603
-1.5126050420168156,-90.0,-2.0301752
1.5126050420167871,-90.0,-2.0348034
4.537815126050418,-90.0,-2.040171
7.563025210084021,-90.0,-2.0460074
10.588235294117652,-90.0,-2.0511827
13.613445378151257,-90.0,-2.0536547
16.638655462184857,-90.0,-2.0624251
19.66386554621849,-90.0,-2.0745578
22.68907563025209,-90.0,-2.0833313
25.71428571428572,-90.0,-2.0804894
28.739495798319325,-90.0,-2.073787
31.764705882352928,-90.0,-2.0616424
34.78991596638656,-90.0,-2.0504727
37.81512605042016,-90.0,-2.0418844
40.84033613445376,-90.0,-2.0338428
43.8655462184874,-90.0,-2.0261292
46.890756302521,-90.0,-2.018732
49.9159663865546,-90.0,-2.0116537
52.94117647058823,-90.0,-2.0065281
55.96638655462184,-90.0,-2.0034676
58.991596638655466,-90.0,-2.0006456
62.01680672268907,-90.0,-1.9980431
65.04201680672267,-90.0,-1.9956509
68.0672268907563,-90.0,-1.9934573
71.0924369747899,-90.0,-1.9917803
74.11764705882354,-90.0,-1.9903018
77.14285714285711,-90.0,-1.9876533
80.16806722689074,-90.0,-1.9780382
83.19327731092437,-90.0,-1.9638622
86.21848739495795,-90.0,-1.9495132
89.24369747899158,-90.0,-1.9353269
92.2689075630252,-90.0,-1.9177531
95.29411764705884,-90.0,-1.8914483
98.3193277310924,-90.0,-1.858958
101.34453781512605,-90.0,-1.8334025
104.36974789915968,-90.0,-1.8168947
107.39495798319324,-90.0,-1.815986
110.42016806722688,-90.0,-1.8078078
113.44537815126051,-90.0,-1.8103713
116.47058823529407,-90.0,-1.8162026
119.49579831932772,-90.0,-1.8220916
122.52100840336136,-90.0,-1.8255554
125.54621848739492,-90.0,-1.82703
128.57142857142856,-90.0,-1.8315471
131.5966386554622,-90.0,-1.8361449
134.62184873949582,-90.0,-1.8408171
