lon,lat,dep,log_dep,log_dep_norm,PINN_log_dep
-61.0,77.0,0.07999989408,-1.096910588014331,-2.6629617619217485,-0.8426678
-42.32,75.1,0.16999985376,-0.7695514522173281,-2.3176129267331764,-0.76029855
-37.63,72.58,0.3260002463999999,-0.4867820716801595,-2.019304232956379,-0.87420285
129.42,71.77,81.99990720000001,1.913813360889196,0.5132135609289481,1.6566887
-27.0,71.0,0.1200001564799999,-0.92081818763274,-2.477192376841709,-0.8734586
136.0,70.8,102.0000384,2.008600335260986,0.6132094602663831,1.7695165
131.6,70.7,120.99984768000002,2.082784823607549,0.6914706842190037,1.8576137
143.6,70.7,47.99999952,1.6812412330326425,0.267860660491203,1.6230465
151.0,70.6,7.000014384,0.8450989324264582,-0.6142310180049809,1.4685957
147.0,70.5,67.00012416,1.8260756075060935,0.4206542655876209,1.5742391
159.0,68.6,135.99994608,2.1335387361851947,0.7450137281523241,1.6646335
162.3,68.2,26.999987904,1.4313635695950158,0.0042512157823243,1.6297618
-44.0,65.0,0.3399990768,-0.4685222621965978,-2.000040973598853,-0.501748
-162.1,63.45,86.99993999999998,1.9395189531050796,0.5403317786868689,1.600915
92.9,56.1,404.0013888000001,2.60638285804907,1.2438425337510577,2.1794813
93.2,56.0,125.99988048,2.1003701331580302,0.7100223771629124,2.1808267
86.1,55.6,75.99986784000001,1.880812837064888,0.4783995257697019,2.050484
91.5,55.2,111.00009743999998,2.045323360026619,0.6519505627455782,2.1555247
91.4,55.1,267.99986592,2.4281345767518534,1.0557987934397102,2.1530726
38.7,55.0,68.00013072,1.8325097475727088,0.4274419874944365,1.738442
83.2,55.0,130.99991328,2.1172710081593524,0.7278520231300671,1.997526
87.0,55.0,107.0000712,2.029384066673591,0.6351353412006062,2.07825
87.1,54.5,125.99988048,2.1003701331580302,0.7100223771629124,2.0860493
34.06,53.15,98.00001216,1.99122612958046,0.5948804721980095,1.8227773
103.0,53.1,176.99989967999997,2.247973020212457,0.865736635726713,2.106323
36.3,53.0,68.00013072,1.8325097475727088,0.4274419874944365,1.8170916
34.2,52.8,166.00014288,2.2201084618470963,0.8363408079576394,1.835787
103.2,52.8,101.00003184,2.0043215106928813,0.6086954971018191,2.0970078
83.6,52.6,152.00005104000002,2.1818437337762635,0.7959732793841767,2.0376475
83.6,52.5,125.99988048,2.1003701331580302,0.7100223771629124,2.0385091
85.1,52.3,293.00002992,2.4668676647025403,1.0966604201496517,2.0522249
33.3,52.2,197.00003088,2.294466294237799,0.914784901905884,1.8573837
38.9,51.6,72.00015696,1.857333443192207,0.453629844895751,1.8530352
42.0,51.0,44.99997984,1.653212319211372,0.2382914452737637,1.8551595
5.6,50.84,112.000104,2.049218425943442,0.6560596781795575,1.914461
5.54,50.68,64.00010447999999,1.80618068296905,0.3996660350367768,1.924865
5.4,50.67,139.99997231999998,2.1461279498120063,0.7582947696341036,1.9228389
7.24,50.57,139.99997231999998,2.1461279498120063,0.7582947696341036,1.9620568
4.02,50.41,103.00004495999998,2.01283741427678,0.6176793837928609,1.9138387
7.35,50.35,195.00001776,2.2900346509167213,0.9101097219840552,1.9772774
24.5,50.31,109.00008432,2.0374268339011423,0.643620090792107,1.8472427
