Longitude,Latitude,MAR,LogMAR
404.17,43.52,3.74176E-09,-8.4269246
166.9,43.28,4.43937E-10,-9.352678571
526.9,43.28,4.43937E-10,-9.352678571
245.2,42.9,1.06228E-09,-8.9737618
-114.8,42.9,1.06228E-09,-8.9737618
247.7,42.8,5.64434E-10,-9.248386605
248.5,42.8,9.89346E-10,-9.004652013
-112.3,42.8,5.64434E-10,-9.248386605
-111.5,42.8,9.89346E-10,-9.004652013
269.17,42.68,3.83688E-09,-8.416021237
-90.83,42.68,3.83688E-09,-8.416021237
241.8,42.5,1.09716E-09,-8.959730508
-118.2,42.5,1.09716E-09,-8.959730508
267.13,42.32,4.31253E-09,-8.365267699
270.86,42.32,1.58549E-09,-8.799836603
-92.87,42.32,4.31253E-09,-8.365267699
-89.14,42.32,1.58549E-09,-8.799836603
248.8,42.3,2.47336E-10,-9.606712004
-111.2,42.3,2.47336E-10,-9.606712004
155.9,42.2,4.24911E-10,-9.371701809
515.9,42.2,4.24911E-10,-9.371701809
119.02,42.17,1.7285E-09,-8.762330425
268.37,42.17,1.51573E-08,-7.81937871
479.02,42.17,1.7285E-09,-8.762330425
-91.63,42.17,1.51573E-08,-7.81937871
267.48,42.1,5.39066E-09,-8.268357686
-92.52,42.1,5.39066E-09,-8.268357686
69,42,4.28082E-10,-9.368472838
69,42,6.81761E-10,-9.166368147
141,42,1.90259E-10,-9.720655357
429,42,4.28082E-10,-9.368472838
429,42,6.81761E-10,-9.166368147
501,42,1.90259E-10,-9.720655357
264.33,41.9,9.83004E-09,-8.007444913
-95.67,41.9,9.83004E-09,-8.007444913
264.35,41.83,1.69647E-08,-7.770452825
-95.65,41.83,1.69647E-08,-7.770452825
264.27,41.82,1.73135E-08,-7.761613964
270.04,41.82,1.43011E-08,-7.844630065
-95.73,41.82,1.73135E-08,-7.761613964
-89.96,41.82,1.43011E-08,-7.844630065
259.8,41.5,2.76509E-08,-7.558290122
264.12,41.5,4.79452E-08,-7.319254816
-100.2,41.5,2.76509E-08,-7.558290122
-95.88,41.5,4.79452E-08,-7.319254816
265.9,41.48,5.86631E-09,-8.231634879
-94.1,41.48,5.86631E-09,-8.231634879
264.42,41.37,1.38255E-08,-7.859320118
265.55,41.37,7.00786E-09,-8.154414333
-95.58,41.37,1.38255E-08,-7.859320118
-94.45,41.37,7.00786E-09,-8.154414333
264.73,41.35,8.62506E-09,-8.064237703
-95.27,41.35,8.62506E-09,-8.064237703
264.03,41.13,8.87874E-09,-8.051648576
-95.97,41.13,8.87874E-09,-8.051648576
266.05,41.03,4.97844E-09,-8.302906955
-93.95,41.03,4.97844E-09,-8.302906955
259.4,41,2.09919E-08,-7.677948618
-100.6,41,2.09919E-08,-7.677948618
263.33,40.9,4.69305E-09,-8.328544892
-96.67,40.9,4.69305E-09,-8.328544892
266.48,40.75,4.15398E-09,-8.381535311
-93.52,40.75,4.15398E-09,-8.381535311
266.73,40.7,3.29782E-09,-8.481773268
-93.27,40.7,3.29782E-09,-8.481773268
