lon,lat,PINN_log_dep
-180.0,-90.0,-2.4615948
-176.9747899159664,-90.0,-2.4267712
-173.94957983193277,-90.0,-2.3919003
-170.92436974789916,-90.0,-2.3685074
-167.89915966386553,-90.0,-2.3504663
-164.87394957983193,-90.0,-2.3340778
-161.84873949579833,-90.0,-2.3188398
-158.8235294117647,-90.0,-2.3074224
-155.7983193277311,-90.0,-2.3144357
-152.7731092436975,-90.0,-2.3236878
-149.74789915966386,-90.0,-2.3359663
-146.72268907563026,-90.0,-2.3496845
-143.69747899159665,-90.0,-2.364819
-140.67226890756302,-90.0,-2.3813574
-137.64705882352942,-90.0,-2.3992674
-134.62184873949582,-90.0,-2.4185073
-131.5966386554622,-90.0,-2.4408693
-128.57142857142856,-90.0,-2.435359
-125.54621848739497,-90.0,-2.428772
-122.52100840336136,-90.0,-2.4318278
-119.49579831932772,-90.0,-2.4552596
-116.47058823529412,-90.0,-2.4468255
-113.44537815126051,-90.0,-2.4415045
-110.4201680672269,-90.0,-2.4550874
-107.39495798319328,-90.0,-2.4846296
-104.36974789915966,-90.0,-2.513797
-101.34453781512605,-90.0,-2.5376189
-98.31932773109244,-90.0,-2.5506043
-95.29411764705884,-90.0,-2.5363784
-92.2689075630252,-90.0,-2.523871
-89.2436974789916,-90.0,-2.5130908
-86.21848739495799,-90.0,-2.504028
-83.19327731092437,-90.0,-2.4979856
-80.16806722689076,-90.0,-2.495187
-77.14285714285714,-90.0,-2.4941711
-74.11764705882354,-90.0,-2.4977014
-71.09243697478992,-90.0,-2.5031426
-68.0672268907563,-90.0,-2.5102344
-65.0420168067227,-90.0,-2.5189638
-62.01680672268908,-90.0,-2.532471
-58.991596638655466,-90.0,-2.548258
-55.96638655462185,-90.0,-2.5659845
-52.94117647058823,-90.0,-2.5652924
-49.91596638655463,-90.0,-2.559427
-46.89075630252103,-90.0,-2.5512614
-43.8655462184874,-90.0,-2.5341308
-40.84033613445379,-90.0,-2.521729
-37.81512605042016,-90.0,-2.5186625
-34.78991596638656,-90.0,-2.496337
-31.76470588235296,-90.0,-2.4665742
-28.739495798319325,-90.0,-2.4433763
-25.71428571428572,-90.0,-2.4237134
-22.68907563025209,-90.0,-2.3959548
-19.66386554621849,-90.0,-2.3734562
-16.638655462184886,-90.0,-2.3530989
-13.613445378151257,-90.0,-2.335865
-10.588235294117652,-90.0,-2.3330848
-7.563025210084049,-90.0,-2.323745
-4.537815126050418,-90.0,-2.3025897
-1.5126050420168156,-90.0,-2.2855759
1.5126050420167871,-90.0,-2.2713974
4.537815126050418,-90.0,-2.2369819
7.563025210084021,-90.0,-2.1865735
10.588235294117652,-90.0,-2.134022
13.613445378151257,-90.0,-2.1387403
