lon,lat,PINN_log_dep
-180.0,-90.0,-0.9472021
-176.9747899159664,-90.0,-0.94912934
-173.94957983193277,-90.0,-0.9509033
-170.92436974789916,-90.0,-0.951952
-167.89915966386553,-90.0,-0.95323384
-164.87394957983193,-90.0,-0.9542101
-161.84873949579833,-90.0,-0.95605266
-158.8235294117647,-90.0,-0.9578085
-155.7983193277311,-90.0,-0.95842963
-152.7731092436975,-90.0,-0.9590784
-149.74789915966386,-90.0,-0.9597563
-146.72268907563026,-90.0,-0.96129686
-143.69747899159665,-90.0,-0.9634328
-140.67226890756302,-90.0,-0.96557254
-137.64705882352942,-90.0,-0.96772474
-134.62184873949582,-90.0,-0.9698819
-131.5966386554622,-90.0,-0.97205263
-128.57142857142856,-90.0,-0.9742352
-125.54621848739497,-90.0,-0.97643036
-122.52100840336136,-90.0,-0.9786403
-119.49579831932772,-90.0,-0.9808767
-116.47058823529412,-90.0,-0.98324734
-113.44537815126051,-90.0,-0.9856838
-110.4201680672269,-90.0,-0.98795056
-107.39495798319328,-90.0,-0.99022543
-104.36974789915966,-90.0,-0.9925363
-101.34453781512605,-90.0,-0.9948841
-98.31932773109244,-90.0,-0.9972633
-95.29411764705884,-90.0,-0.9996831
-92.2689075630252,-90.0,-1.0021445
-89.2436974789916,-90.0,-1.0046452
-86.21848739495799,-90.0,-1.0071893
-83.19327731092437,-90.0,-1.0102376
-80.16806722689076,-90.0,-1.0140535
-77.14285714285714,-90.0,-1.017897
-74.11764705882354,-90.0,-1.0217644
-71.09243697478992,-90.0,-1.0256584
-68.0672268907563,-90.0,-1.0295827
-65.0420168067227,-90.0,-1.0335333
-62.01680672268908,-90.0,-1.03752
-58.991596638655466,-90.0,-1.0415381
-55.96638655462185,-90.0,-1.0449374
-52.94117647058823,-90.0,-1.0479875
-49.91596638655463,-90.0,-1.0510752
-46.89075630252103,-90.0,-1.0542557
-43.8655462184874,-90.0,-1.0578197
-40.84033613445379,-90.0,-1.06142
-37.81512605042016,-90.0,-1.0650643
-34.78991596638656,-90.0,-1.0687503
-31.76470588235296,-90.0,-1.0724833
-28.739495798319325,-90.0,-1.0756851
-25.71428571428572,-90.0,-1.0786369
-22.68907563025209,-90.0,-1.0816233
-19.66386554621849,-90.0,-1.084331
-16.638655462184886,-90.0,-1.0870748
-13.613445378151257,-90.0,-1.0898644
-10.588235294117652,-90.0,-1.092708
-7.563025210084049,-90.0,-1.0956026
-4.537815126050418,-90.0,-1.0985574
-1.5126050420168156,-90.0,-1.1015629
1.5126050420167871,-90.0,-1.1046315
4.537815126050418,-90.0,-1.1077589
7.563025210084021,-90.0,-1.1109496
10.588235294117652,-90.0,-1.1142013
13.613445378151257,-90.0,-1.1175246
16.638655462184857,-90.0,-1.1209098
19.66386554621849,-90.0,-1.1243669
22.68907563025209,-90.0,-1.1277735
25.71428571428572,-90.0,-1.1312038
28.739495798319325,-90.0,-1.1347089
31.764705882352928,-90.0,-1.1382955
34.78991596638656,-90.0,-1.1419958
37.81512605042016,-90.0,-1.1457802
40.84033613445376,-90.0,-1.1496457
43.8655462184874,-90.0,-1.1535968
46.890756302521,-90.0,-1.1576322
49.9159663865546,-90.0,-1.1617551
