lon,lat,PINN_log_dep
-180.0,-90.0,-3.106023
-176.9747899159664,-90.0,-3.1119647
-173.94957983193277,-90.0,-3.1130357
-170.92436974789916,-90.0,-3.1162777
-167.89915966386553,-90.0,-3.1197784
-164.87394957983193,-90.0,-3.1235416
-161.84873949579833,-90.0,-3.127574
-158.8235294117647,-90.0,-3.131452
-155.7983193277311,-90.0,-3.1355572
-152.7731092436975,-90.0,-3.139877
-149.74789915966386,-90.0,-3.1443849
-146.72268907563026,-90.0,-3.1490636
-143.69747899159665,-90.0,-3.1548145
-140.67226890756302,-90.0,-3.1529887
-137.64705882352942,-90.0,-3.151521
-134.62184873949582,-90.0,-3.1515236
-131.5966386554622,-90.0,-3.1539598
-128.57142857142856,-90.0,-3.16214
-125.54621848739497,-90.0,-3.1715193
-122.52100840336136,-90.0,-3.1742806
-119.49579831932772,-90.0,-3.1763413
-116.47058823529412,-90.0,-3.1825953
-113.44537815126051,-90.0,-3.1908607
-110.4201680672269,-90.0,-3.2012079
-107.39495798319328,-90.0,-3.2182407
-104.36974789915966,-90.0,-3.2374234
-101.34453781512605,-90.0,-3.257051
-98.31932773109244,-90.0,-3.2741697
-95.29411764705884,-90.0,-3.2917972
-92.2689075630252,-90.0,-3.307668
-89.2436974789916,-90.0,-3.3127067
-86.21848739495799,-90.0,-3.316181
-83.19327731092437,-90.0,-3.316058
-80.16806722689076,-90.0,-3.315657
-77.14285714285714,-90.0,-3.3150997
-74.11764705882354,-90.0,-3.314507
-71.09243697478992,-90.0,-3.3155632
-68.0672268907563,-90.0,-3.3088958
-65.0420168067227,-90.0,-3.3020961
-62.01680672268908,-90.0,-3.2953613
-58.991596638655466,-90.0,-3.2867596
-55.96638655462185,-90.0,-3.2770386
-52.94117647058823,-90.0,-3.2756245
-49.91596638655463,-90.0,-3.2745202
-46.89075630252103,-90.0,-3.2730725
-43.8655462184874,-90.0,-3.2679284
-40.84033613445379,-90.0,-3.257244
-37.81512605042016,-90.0,-3.2451909
-34.78991596638656,-90.0,-3.2335558
-31.76470588235296,-90.0,-3.228324
-28.739495798319325,-90.0,-3.221422
-25.71428571428572,-90.0,-3.214613
-22.68907563025209,-90.0,-3.2083807
-19.66386554621849,-90.0,-3.1942973
-16.638655462184886,-90.0,-3.176056
-13.613445378151257,-90.0,-3.1578257
-10.588235294117652,-90.0,-3.1393218
-7.563025210084049,-90.0,-3.1184685
-4.537815126050418,-90.0,-3.0981278
-1.5126050420168156,-90.0,-3.0774777
1.5126050420167871,-90.0,-3.054645
4.537815126050418,-90.0,-3.0326436
7.563025210084021,-90.0,-3.0114884
10.588235294117652,-90.0,-2.99121
13.613445378151257,-90.0,-2.9718344
16.638655462184857,-90.0,-2.951937
19.66386554621849,-90.0,-2.932265
22.68907563025209,-90.0,-2.9094787
25.71428571428572,-90.0,-2.886914
28.739495798319325,-90.0,-2.8651123
31.764705882352928,-90.0,-2.844103
34.78991596638656,-90.0,-2.8239086
37.81512605042016,-90.0,-2.8072886
40.84033613445376,-90.0,-2.7997587
43.8655462184874,-90.0,-2.7885096
46.890756302521,-90.0,-2.777409
49.9159663865546,-90.0,-2.773005
52.94117647058823,-90.0,-2.7665768
55.96638655462184,-90.0,-2.758105
58.991596638655466,-90.0,-2.751458
62.01680672268907,-90.0,-2.744386
65.04201680672267,-90.0,-2.7331824
68.0672268907563,-90.0,-2.7220297
71.0924369747899,-90.0,-2.7112837
74.11764705882354,-90.0,-2.7008555
77.14285714285711,-90.0,-2.687647
80.16806722689074,-90.0,-2.6767676
83.19327731092437,-90.0,-2.6621435
86.21848739495795,-90.0,-2.644407
89.24369747899158,-90.0,-2.629651
92.2689075630252,-90.0,-2.615661
95.29411764705884,-90.0,-2.5987113
98.3193277310924,-90.0,-2.5800335
101.34453781512605,-90.0,-2.5674386
104.36974789915968,-90.0,-2.5543146
107.39495798319324,-90.0,-2.5406852
110.42016806722688,-90.0,-2.5265672
113.44537815126051,-90.0,-2.526056
116.47058823529407,-90.0,-2.5362039
119.49579831932772,-90.0,-2.5467026
122.52100840336136,-90.0,-2.5622232
125.54621848739492,-90.0,-2.5896227
128.57142857142856,-90.0,-2.6168814
131.5966386554622,-90.0,-2.6440473
134.62184873949582,-90.0,-2.669779
137.6470588235294,-90.0,-2.6671472
140.67226890756302,-90.0,-2.6640956
143.69747899159665,-90.0,-2.65737
146.72268907563023,-90.0,-2.6472614
149.74789915966386,-90.0,-2.6372764
