lon,lat,PINN_log_dep
-180.0,-90.0,-3.6028461
-176.9747899159664,-90.0,-3.602769
-173.94957983193277,-90.0,-3.6002314
-170.92436974789916,-90.0,-3.5965416
-167.89915966386553,-90.0,-3.6057367
-164.87394957983193,-90.0,-3.6309493
-161.84873949579833,-90.0,-3.6534443
-158.8235294117647,-90.0,-3.6735928
-155.7983193277311,-90.0,-3.6910064
-152.7731092436975,-90.0,-3.7052844
-149.74789915966386,-90.0,-3.7160914
-146.72268907563026,-90.0,-3.723138
-143.69747899159665,-90.0,-3.7261014
-140.67226890756302,-90.0,-3.7238255
-137.64705882352942,-90.0,-3.7106092
-134.62184873949582,-90.0,-3.6908393
-131.5966386554622,-90.0,-3.6664238
-128.57142857142856,-90.0,-3.6371446
-125.54621848739497,-90.0,-3.6161447
-122.52100840336136,-90.0,-3.5910254
-119.49579831932772,-90.0,-3.5358763
-116.47058823529412,-90.0,-3.581598
-113.44537815126051,-90.0,-3.6373782
-110.4201680672269,-90.0,-3.682967
-107.39495798319328,-90.0,-3.6711018
-104.36974789915966,-90.0,-3.606331
-101.34453781512605,-90.0,-3.5279162
-98.31932773109244,-90.0,-3.4858215
-95.29411764705884,-90.0,-3.4583507
-92.2689075630252,-90.0,-3.4017382
-89.2436974789916,-90.0,-3.34428
-86.21848739495799,-90.0,-3.2870908
-83.19327731092437,-90.0,-3.23066
-80.16806722689076,-90.0,-3.1782093
-77.14285714285714,-90.0,-3.4324925
-74.11764705882354,-90.0,-3.6659157
-71.09243697478992,-90.0,-3.8107054
-68.0672268907563,-90.0,-3.759812
-65.0420168067227,-90.0,-3.7516034
-62.01680672268908,-90.0,-3.7915058
-58.991596638655466,-90.0,-3.8846679
-55.96638655462185,-90.0,-4.036312
-52.94117647058823,-90.0,-4.173812
-49.91596638655463,-90.0,-4.19454
-46.89075630252103,-90.0,-4.061088
-43.8655462184874,-90.0,-3.9624712
-40.84033613445379,-90.0,-3.86219
-37.81512605042016,-90.0,-3.7932541
-34.78991596638656,-90.0,-3.7857668
-31.76470588235296,-90.0,-3.7998278
-28.739495798319325,-90.0,-3.784617
-25.71428571428572,-90.0,-3.6847064
-22.68907563025209,-90.0,-3.533347
-19.66386554621849,-90.0,-3.2081268
-16.638655462184886,-90.0,-3.3103497
-13.613445378151257,-90.0,-3.5217466
-10.588235294117652,-90.0,-3.6484306
-7.563025210084049,-90.0,-3.6677358
-4.537815126050418,-90.0,-3.7030308
-1.5126050420168156,-90.0,-3.8522284
1.5126050420167871,-90.0,-4.1300783
4.537815126050418,-90.0,-3.9132957
7.563025210084021,-90.0,-3.6762898
10.588235294117652,-90.0,-3.380129
13.613445378151257,-90.0,-3.2129405
16.638655462184857,-90.0,-3.2312953
19.66386554621849,-90.0,-3.175188
22.68907563025209,-90.0,-3.1444855
25.71428571428572,-90.0,-3.1273868
28.739495798319325,-90.0,-3.123242
31.764705882352928,-90.0,-3.1294472
34.78991596638656,-90.0,-3.1398747
37.81512605042016,-90.0,-3.1212282
